Date,index_state,index_roc63,index_state_T1,index_roc63_T1
2000-07-28,UPTREND,,,
2000-07-31,UPTREND,,UPTREND,
2000-08-02,UPTREND,,UPTREND,
2000-08-04,UPTREND,,UPTREND,
2000-08-07,UPTREND,,UPTREND,
2000-08-09,UPTREND,,UPTREND,
2000-08-11,UPTREND,,UPTREND,
2000-08-14,UPTREND,,UPTREND,
2000-08-16,UPTREND,,UPTREND,
2000-08-18,UPTREND,,UPTREND,
2000-08-21,UPTREND,,UPTREND,
2000-08-23,UPTREND,,UPTREND,
2000-08-25,UPTREND,,UPTREND,
2000-08-28,UPTREND,,UPTREND,
2000-08-30,UPTREND,,UPTREND,
2000-09-01,UPTREND,,UPTREND,
2000-09-06,UPTREND,,UPTREND,
2000-09-08,UPTREND,,UPTREND,
2000-09-11,UPTREND,,UPTREND,
2000-09-13,UPTREND,,UPTREND,
2000-09-15,UPTREND,,UPTREND,
2000-09-18,UPTREND,,UPTREND,
2000-09-20,UPTREND,,UPTREND,
2000-09-22,UPTREND,,UPTREND,
2000-09-25,UPTREND,,UPTREND,
2000-09-27,UPTREND,,UPTREND,
2000-09-29,UPTREND,,UPTREND,
2000-10-02,UPTREND,,UPTREND,
2000-10-04,UPTREND,,UPTREND,
2000-10-06,UPTREND,,UPTREND,
2000-10-09,UPTREND,,UPTREND,
2000-10-11,UPTREND,,UPTREND,
2000-10-13,UPTREND,,UPTREND,
2000-10-16,UPTREND,,UPTREND,
2000-10-18,UPTREND,,UPTREND,
2000-10-20,UPTREND,,UPTREND,
2000-10-23,UPTREND,,UPTREND,
2000-10-25,UPTREND,,UPTREND,
2000-10-27,UPTREND,,UPTREND,
2000-10-30,UPTREND,,UPTREND,
2000-11-01,UPTREND,,UPTREND,
2000-11-03,UPTREND,,UPTREND,
2000-11-06,UPTREND,,UPTREND,
2000-11-08,UPTREND,,UPTREND,
2000-11-10,UPTREND,,UPTREND,
2000-11-13,UPTREND,,UPTREND,
2000-11-15,UPTREND,,UPTREND,
2000-11-17,UPTREND,,UPTREND,
2000-11-20,UPTREND,,UPTREND,
2000-11-22,UPTREND,,UPTREND,
2000-11-24,UPTREND,,UPTREND,
2000-11-27,UPTREND,,UPTREND,
2000-11-29,UPTREND,,UPTREND,
2000-12-01,UPTREND,,UPTREND,
2000-12-04,UPTREND,,UPTREND,
2000-12-06,UPTREND,,UPTREND,
2000-12-08,UPTREND,,UPTREND,
2000-12-11,UPTREND,,UPTREND,
2000-12-13,UPTREND,,UPTREND,
2000-12-15,UPTREND,,UPTREND,
2000-12-18,UPTREND,,UPTREND,
2000-12-20,UPTREND,,UPTREND,
2000-12-22,UPTREND,,UPTREND,
2000-12-25,UPTREND,102.32,UPTREND,
2000-12-27,UPTREND,99.99015263417037,UPTREND,102.32
2000-12-29,UPTREND,100.06771135616175,UPTREND,99.99015263417037
2001-01-03,UPTREND,100.15209125475283,UPTREND,100.06771135616175
2001-01-05,UPTREND,100.44893378226712,UPTREND,100.15209125475283
2001-01-08,UPTREND,100.77319587628865,UPTREND,100.44893378226712
2001-01-10,UPTREND,101.2957593330917,UPTREND,100.77319587628865
2001-01-12,UPTREND,101.34725196288366,UPTREND,101.2957593330917
2001-01-15,UPTREND,100.65905096660808,UPTREND,101.34725196288366
2001-01-17,UPTREND,101.41966759002771,UPTREND,100.65905096660808
2001-01-19,UPTREND,102.12384851586489,UPTREND,101.41966759002771
2001-01-29,UPTREND,102.89172831203769,UPTREND,102.12384851586489
2001-01-31,UPTREND,106.83271625715247,UPTREND,102.89172831203769
2001-02-02,UPTREND,113.87179487179486,UPTREND,106.83271625715247
2001-02-05,UPTREND,121.4155449413808,UPTREND,113.87179487179486
2001-02-07,UPTREND,129.27582252800565,UPTREND,121.4155449413808
2001-02-09,UPTREND,131.22389120967023,UPTREND,129.27582252800565
2001-02-12,UPTREND,127.93842868582617,UPTREND,131.22389120967023
2001-02-14,UPTREND,121.0235737446324,UPTREND,127.93842868582617
2001-02-16,UPTREND,114.49000689179873,UPTREND,121.0235737446324
2001-02-19,UPTREND,108.39545916638427,UPTREND,114.49000689179873
2001-02-21,UPTREND,108.77400795329555,UPTREND,108.39545916638427
2001-02-23,UPTREND,112.52009136282885,UPTREND,108.77400795329555
2001-02-26,UPTREND,115.23240148198049,UPTREND,112.52009136282885
2001-02-28,UPTREND,112.13649352832408,UPTREND,115.23240148198049
2001-03-02,UPTREND,111.91411145459102,UPTREND,112.13649352832408
2001-03-05,UPTREND,107.71269985916658,UPTREND,111.91411145459102
2001-03-07,UPTREND,105.13562686073436,UPTREND,107.71269985916658
2001-03-09,UPTREND,108.52732375763581,UPTREND,105.13562686073436
2001-03-12,UPTREND,109.4673103674004,UPTREND,108.52732375763581
2001-03-14,UPTREND,107.27097241212901,UPTREND,109.4673103674004
2001-03-16,UPTREND,104.44444444444443,UPTREND,107.27097241212901
2001-03-19,UPTREND,102.45002722252472,UPTREND,104.44444444444443
2001-03-21,UPTREND,99.76283375411215,UPTREND,102.45002722252472
2001-03-23,UPTREND,95.40835528791874,UPTREND,99.76283375411215
2001-03-26,UPTREND,92.61700236966827,UPTREND,95.40835528791874
2001-03-28,UPTREND,93.84840717685827,UPTREND,92.61700236966827
2001-03-30,UPTREND,96.45462503647504,UPTREND,93.84840717685827
2001-04-02,UPTREND,96.6253492870961,UPTREND,96.45462503647504
2001-04-04,UPTREND,98.49474581084918,UPTREND,96.6253492870961
2001-04-06,UPTREND,98.62554943138211,UPTREND,98.49474581084918
2001-04-09,UPTREND,98.73825687444283,UPTREND,98.62554943138211
2001-04-11,UPTREND,98.62017904018307,UPTREND,98.73825687444283
2001-04-13,UPTREND,98.4932593180016,UPTREND,98.62017904018307
2001-04-16,UPTREND,98.70197300103843,UPTREND,98.4932593180016
2001-04-18,UPTREND,98.90334098444272,UPTREND,98.70197300103843
2001-04-20,UPTREND,99.09774436090227,UPTREND,98.90334098444272
2001-04-23,UPTREND,93.23725055432371,UPTREND,99.09774436090227
2001-04-25,UPTREND,90.26554013277007,UPTREND,93.23725055432371
2001-04-27,UPTREND,93.97655872402126,UPTREND,90.26554013277007
2001-05-02,UPTREND,96.86465667689717,UPTREND,93.97655872402126
2001-05-04,UPTREND,100.48309178743962,UPTREND,96.86465667689717
2001-05-07,UPTREND,100.52746992236119,UPTREND,100.48309178743962
2001-05-09,UPTREND,100.42473962878921,UPTREND,100.52746992236119
2001-05-11,UPTREND,100.60571428571427,UPTREND,100.42473962878921
2001-05-14,UPTREND,100.7803289732218,UPTREND,100.60571428571427
2001-05-16,UPTREND,100.9654639744014,UPTREND,100.7803289732218
2001-05-18,UPTREND,95.27219121827945,UPTREND,100.9654639744014
2001-05-21,UPTREND,104.59128360797921,UPTREND,95.27219121827945
2001-05-23,UPTREND,104.75429058735743,UPTREND,104.59128360797921
2001-05-25,UPTREND,104.53142169431216,UPTREND,104.75429058735743
2001-05-28,UPTREND,104.00307929176289,UPTREND,104.53142169431216
2001-05-30,UPTREND,103.57538523516969,UPTREND,104.00307929176289
2001-06-01,UPTREND,103.15836298932383,UPTREND,103.57538523516969
2001-06-04,UPTREND,105.71667733517161,UPTREND,103.15836298932383
2001-06-06,UPTREND,105.27002852584246,UPTREND,105.71667733517161
2001-06-08,UPTREND,102.59308510638296,UPTREND,105.27002852584246
